,type,tags,merchant_abn,count(1)
942,e,"cable, satellite, other pay television, radio",31322181845,2457
943,a,"equipment, tool, furniture, appliance rental, leasing",55193751157,84
944,b,"bicycle,",83930795096,634
945,c,"furniture, home furnishings, equipment, manufacturers",56002073911,86
946,a,telecom,62692834922,345
947,d,"digital goods, books, movies, music",44779505142,314
948,b,"computers, computer peripheral equipment, software",26482181417,46
949,b,"bicycle,",98861981558,21
950,c,"tent, awning",70783350473,52
951,a,"cable, satellite, other pay television, radio",34695415993,7143
952,b,"computers, computer peripheral equipment, software",80518954462,24925
953,c,"opticians, optical goods, eyeglasses",20939962818,2421
954,a,"opticians, optical goods, eyeglasses",30942453214,6545
955,c,"gift, card, novelty, souvenir",13565102775,13987
956,b,"watch, clock, jewelry repair",57867831267,3155
957,b,"lawn, garden supply outlets, including nurseries",88816810320,4321
958,b,"opticians, optical goods, eyeglasses",12483082042,3318
959,c,"digital goods, books, movies, music",64040663159,1803
960,a,"watch, clock, jewelry repair",41847933261,252
961,b,"tent, awning",11215815177,1336
962,a,"computer programming, data processing, integrated systems design",99410502449,449
963,b,"books, periodicals, newspapers",88218638184,108
964,a,"digital goods, books, movies, music",13272374672,492
965,a,"cable, satellite, other pay television, radio",87919999302,279
966,c,"computers, computer peripheral equipment, software",69135584329,294
967,c,"music, musical instruments, pianos, sheet music",93238141799,45
968,a,"music, musical instruments, pianos, sheet music",95856918319,29
969,a,"computer programming, data processing, integrated systems design",60061618643,78
970,b,shoe,87769349119,126
971,a,"hobby, toy, game",43725628716,1079
972,a,"watch, clock, jewelry repair",21615741041,2659
973,a,"cable, satellite, other pay television, radio",90692244747,11013
974,a,"antique, repairs, restoration",20325086904,8267
975,a,"gift, card, novelty, souvenir",16388802220,2988
976,d,"opticians, optical goods, eyeglasses",55883454313,410
977,c,"gift, card, novelty, souvenir",75975626029,459
978,b,"books, periodicals, newspapers",18653260078,5027
979,a,"health, beauty spas",18303734841,3103
980,a,"cable, satellite, other pay television, radio",75720304166,468
981,b,"computers, computer peripheral equipment, software",87632767975,1533
982,c,"digital goods, books, movies, music",75022145904,341
983,b,"artist supply, craft",23956501449,343
984,c,"stationery, office supplies, printing, writing paper",19119901659,35
985,c,"watch, clock, jewelry repair",10264435225,4198
986,a,"gift, card, novelty, souvenir",51357574333,5548
987,e,"computer programming, data processing, integrated systems design",58741105428,4188
988,a,"tent, awning",50050487900,1250
989,b,"music, musical instruments, pianos, sheet music",16500351705,119
990,c,"watch, clock, jewelry repair",86253699836,728
991,b,"motor vehicle supplies, new parts",10430380319,135
992,b,"art dealers, galleries",60123474601,127
993,a,"furniture, home furnishings, equipment, manufacturers",60573599765,759
994,a,shoe,48196513465,275
995,b,"computer programming, data processing, integrated systems design",41566402880,181
996,c,"gift, card, novelty, souvenir",67696830978,419
997,a,shoe,60240099150,615
998,c,"artist supply, craft",51906535389,56
999,b,"books, periodicals, newspapers",12476477880,69
1000,b,"computer programming, data processing, integrated systems design",18651012250,135
1001,a,"artist supply, craft",97862445979,116
1002,a,"tent, awning",79925938654,479
1003,c,"books, periodicals, newspapers",74489671755,258
1004,c,"hobby, toy, game",88253903277,32
1005,a,"equipment, tool, furniture, appliance rental, leasing",97206517936,13
1006,b,"hobby, toy, game",55306852930,30
1007,a,"books, periodicals, newspapers",42032686423,1253
1008,a,"health, beauty spas",67244956961,374
1009,b,"music, musical instruments, pianos, sheet music",21783961149,751
1010,a,"opticians, optical goods, eyeglasses",95574756848,9512
1011,a,"hobby, toy, game",46607130088,8100
1012,b,"furniture, home furnishings, equipment, manufacturers",65925117805,1195
1013,a,"digital goods, books, movies, music",80556041042,519
1014,a,"motor vehicle supplies, new parts",25273270711,1864
1015,c,"cable, satellite, other pay television, radio",82786382916,2672
1016,a,"watch, clock, jewelry repair",87719724258,4173
1017,b,"tent, awning",93349773784,667
1018,b,"health, beauty spas",32329455050,1987
1019,c,"stationery, office supplies, printing, writing paper",53496117655,636
1020,b,"florists supplies, nursery stock, flowers",51808433866,1909
1021,c,"furniture, home furnishings, equipment, manufacturers",71467727041,850
1022,b,"artist supply, craft",56709391097,279
1023,c,"music, musical instruments, pianos, sheet music",97382279968,205
1024,b,"motor vehicle supplies, new parts",29782968433,137
1025,b,"computers, computer peripheral equipment, software",24701944105,202
1026,c,"bicycle,",63735907565,66
1027,a,"artist supply, craft",49153780138,35
1028,c,"computer programming, data processing, integrated systems design",75452980559,53
1029,a,"artist supply, craft",63123845164,9572
1030,c,"tent, awning",71094934182,16535
1031,a,shoe,39135845322,1914
1032,a,"computers, computer peripheral equipment, software",22469567189,1357
1033,a,"computer programming, data processing, integrated systems design",64573039027,1720
1034,c,"antique, repairs, restoration",59589609053,2386
1035,b,"computer programming, data processing, integrated systems design",47374330858,4330
1036,c,"florists supplies, nursery stock, flowers",26510188921,1994
1037,a,"bicycle,",86101203168,1004
1038,a,"computer programming, data processing, integrated systems design",27452194956,35
1039,c,"stationery, office supplies, printing, writing paper",16941018799,72
1040,b,shoe,35713332328,97
1041,b,shoe,64208631487,119
1042,b,"jewelry, watch, clock, silverware",23709946765,158
1043,b,"books, periodicals, newspapers",70734215049,132
1044,b,"jewelry, watch, clock, silverware",37815517789,6
1045,c,shoe,80995075637,6702
1046,b,"bicycle,",22795471441,16318
1047,c,"computer programming, data processing, integrated systems design",95692868757,359
1048,c,"books, periodicals, newspapers",53284532894,59
1049,c,"gift, card, novelty, souvenir",21702179125,1218
1050,a,"lawn, garden supply outlets, including nurseries",36688095621,1713
1051,c,"stationery, office supplies, printing, writing paper",83045786081,323
1052,b,"stationery, office supplies, printing, writing paper",94801884806,412
1053,b,"computers, computer peripheral equipment, software",26500650326,59
1054,a,"florists supplies, nursery stock, flowers",50859331573,202
1055,b,"furniture, home furnishings, equipment, manufacturers",52689558435,620
1056,c,"watch, clock, jewelry repair",10922217544,61
1057,c,"computers, computer peripheral equipment, software",23617533061,399
1058,a,"watch, clock, jewelry repair",52763133264,111
1059,b,shoe,48080014857,120
1060,b,"furniture, home furnishings, equipment, manufacturers",70498641647,47
1061,c,"antique, repairs, restoration",79890957413,99
1062,b,"motor vehicle supplies, new parts",42724910979,58
1063,c,"computer programming, data processing, integrated systems design",93658191062,124
1064,a,shoe,86137100428,21
1065,b,"art dealers, galleries",47422313909,47
1066,c,"music, musical instruments, pianos, sheet music",51279178333,16066
1067,a,"watch, clock, jewelry repair",72673996108,7976
1068,a,"cable, satellite, other pay television, radio",38523562929,5739
1069,c,"digital goods, books, movies, music",35195862809,640
1070,a,"artist supply, craft",58019702129,3353
1071,b,"furniture, home furnishings, equipment, manufacturers",90290879666,657
1072,b,"motor vehicle supplies, new parts",16242364669,453
1073,b,"health, beauty spas",87788702467,107
1074,c,"artist supply, craft",37505212069,145
1075,b,"florists supplies, nursery stock, flowers",41334628518,85
1076,a,"bicycle,",31759308958,79
1077,c,"bicycle,",74752814665,77
1078,d,"artist supply, craft",27407519046,110
1079,b,"bicycle,",48758923477,228
1080,c,"stationery, office supplies, printing, writing paper",87070475031,105
1081,b,"music, musical instruments, pianos, sheet music",24724058205,106
1082,b,"art dealers, galleries",20781273791,13
1083,a,"tent, awning",32530636640,9660
1084,a,"florists supplies, nursery stock, flowers",25078409316,3082
1085,a,"cable, satellite, other pay television, radio",55417076134,7517
1086,b,shoe,42217736449,1944
1087,a,"watch, clock, jewelry repair",18305506006,8406
1088,b,"music, musical instruments, pianos, sheet music",66149479735,494
1089,b,"digital goods, books, movies, music",81299585288,419
1090,b,"antique, repairs, restoration",49063322245,29
1091,b,"watch, clock, jewelry repair",73713369509,144
1092,c,"stationery, office supplies, printing, writing paper",17758483290,1100
1093,b,"digital goods, books, movies, music",90058450104,133
1094,a,"cable, satellite, other pay television, radio",25762836422,348
1095,a,"music, musical instruments, pianos, sheet music",40561597210,151
1096,a,"stationery, office supplies, printing, writing paper",84923186920,147
1097,b,"bicycle,",41594644510,30
1098,c,"furniture, home furnishings, equipment, manufacturers",34775154874,4
1099,a,"lawn, garden supply outlets, including nurseries",17610103622,15
1100,a,shoe,50894040234,927
1101,b,"watch, clock, jewelry repair",80779820715,30347
1102,b,"furniture, home furnishings, equipment, manufacturers",10959028715,4154
1103,a,"computers, computer peripheral equipment, software",72231375027,2766
1104,c,"furniture, home furnishings, equipment, manufacturers",48734393022,1313
1105,b,"lawn, garden supply outlets, including nurseries",50913027463,498
1106,c,"cable, satellite, other pay television, radio",47485518426,599
1107,b,"furniture, home furnishings, equipment, manufacturers",56490929085,256
1108,b,"computer programming, data processing, integrated systems design",16165222459,1842
1109,c,"watch, clock, jewelry repair",56519940783,224
1110,c,"bicycle,",20334248803,506
1111,b,"cable, satellite, other pay television, radio",19839532017,614
1112,a,"furniture, home furnishings, equipment, manufacturers",53331457650,147
1113,a,"opticians, optical goods, eyeglasses",77259097820,432
1114,b,"equipment, tool, furniture, appliance rental, leasing",49837617638,84
1115,c,"books, periodicals, newspapers",68889885215,64
1116,b,"antique, repairs, restoration",79100970961,57
1117,b,"equipment, tool, furniture, appliance rental, leasing",35079621278,24
1118,a,"furniture, home furnishings, equipment, manufacturers",72164128552,9
1119,a,"gift, card, novelty, souvenir",35367341543,2196
1120,a,"watch, clock, jewelry repair",86662713230,17996
1121,b,"watch, clock, jewelry repair",24938000144,16093
1122,a,"digital goods, books, movies, music",34082818630,2479
1123,b,"digital goods, books, movies, music",30389290864,9625
1124,a,"cable, satellite, other pay television, radio",68501926042,7661
1125,a,"music, musical instruments, pianos, sheet music",63469048699,639
1126,b,"furniture, home furnishings, equipment, manufacturers",48390524826,3280
1127,b,"cable, satellite, other pay television, radio",55955609006,2679
1128,a,"books, periodicals, newspapers",34059083860,2490
1129,a,"cable, satellite, other pay television, radio",56727542957,168
1130,c,"gift, card, novelty, souvenir",81454203401,393
1131,b,"opticians, optical goods, eyeglasses",24378910810,1426
1132,a,"books, periodicals, newspapers",18716225872,471
1133,b,"watch, clock, jewelry repair",53872162300,95
1134,a,"books, periodicals, newspapers",55641364241,89
1135,b,"watch, clock, jewelry repair",26749181046,245
1136,d,"furniture, home furnishings, equipment, manufacturers",94780037589,242
1137,a,"cable, satellite, other pay television, radio",77071952077,226
1138,c,"computer programming, data processing, integrated systems design",16315736437,168
1139,a,telecom,97089682451,108
1140,b,"equipment, tool, furniture, appliance rental, leasing",35615649088,16
1141,a,"lawn, garden supply outlets, including nurseries",58869593769,22
1142,a,"equipment, tool, furniture, appliance rental, leasing",98028977660,41
1143,a,"lawn, garden supply outlets, including nurseries",25370771356,3499
1144,a,"cable, satellite, other pay television, radio",44454840859,11342
1145,a,"digital goods, books, movies, music",39220770748,539
1146,b,"health, beauty spas",54097385985,1941
1147,c,"bicycle,",36747959917,993
1148,a,"watch, clock, jewelry repair",73204383732,1494
1149,a,"jewelry, watch, clock, silverware",97590358496,31
1150,c,"artist supply, craft",98533840054,1632
1151,a,"watch, clock, jewelry repair",22528859307,155
1152,a,"lawn, garden supply outlets, including nurseries",43078277216,28
1153,c,"stationery, office supplies, printing, writing paper",41081202656,61
1154,b,"antique, repairs, restoration",41315101616,2850
1155,b,"gift, card, novelty, souvenir",54705111450,5456
1156,c,shoe,67691683330,2491
1157,c,shoe,81249812970,1256
1158,a,"gift, card, novelty, souvenir",40490618895,536
1159,a,"music, musical instruments, pianos, sheet music",75881121130,2412
1160,b,"hobby, toy, game",40996886558,1085
1161,b,"furniture, home furnishings, equipment, manufacturers",41331108470,179
1162,b,shoe,45577247100,277
1163,d,"health, beauty spas",77617184086,78
1164,c,"stationery, office supplies, printing, writing paper",65278963534,108
1165,c,"equipment, tool, furniture, appliance rental, leasing",46887242827,473
1166,a,"furniture, home furnishings, equipment, manufacturers",81227400064,438
1167,c,"florists supplies, nursery stock, flowers",56659127324,197
1168,b,"stationery, office supplies, printing, writing paper",27110349542,387
1169,a,"computer programming, data processing, integrated systems design",13611382586,57
1170,b,"bicycle,",70309831462,1677
1171,a,"music, musical instruments, pianos, sheet music",26844395593,10019
1172,a,"computer programming, data processing, integrated systems design",71989214810,3983
1173,a,"books, periodicals, newspapers",85574524327,2383
1174,b,"music, musical instruments, pianos, sheet music",95276443363,60
1175,a,"computer programming, data processing, integrated systems design",68828285855,1153
1176,a,"artist supply, craft",68759076161,823
1177,a,"lawn, garden supply outlets, including nurseries",99022808555,2151
1178,a,"watch, clock, jewelry repair",13663374533,440
1179,a,"music, musical instruments, pianos, sheet music",28451419105,123
1180,c,"opticians, optical goods, eyeglasses",27657048362,407
1181,c,"equipment, tool, furniture, appliance rental, leasing",93936767851,28
1182,b,"furniture, home furnishings, equipment, manufacturers",34377873597,97
1183,b,"health, beauty spas",98003940525,26
1184,b,"tent, awning",68015860722,35
1185,c,"gift, card, novelty, souvenir",73114530701,5038
1186,b,"cable, satellite, other pay television, radio",85139489422,11637
1187,a,"music, musical instruments, pianos, sheet music",31472801314,4631
1188,a,"lawn, garden supply outlets, including nurseries",74063123996,5512
1189,a,"florists supplies, nursery stock, flowers",79479365013,1178
1190,a,"gift, card, novelty, souvenir",38721857169,545
1191,c,"motor vehicle supplies, new parts",59162205130,8389
1192,a,"computer programming, data processing, integrated systems design",95431176007,2823
1193,c,"computer programming, data processing, integrated systems design",18253795725,181
1194,a,"digital goods, books, movies, music",31092671220,353
1195,c,"cable, satellite, other pay television, radio",76482197253,1614
1196,c,"computer programming, data processing, integrated systems design",11089768124,260
1197,b,"music, musical instruments, pianos, sheet music",43753915542,415
1198,a,"furniture, home furnishings, equipment, manufacturers",48934946153,16
1199,a,"tent, awning",58154486337,1559
1200,c,"music, musical instruments, pianos, sheet music",67178153348,212
1201,c,"watch, clock, jewelry repair",97412669819,315
1202,b,"lawn, garden supply outlets, including nurseries",87984437233,296
1203,b,"bicycle,",31770481079,27
1204,b,"art dealers, galleries",87915290368,86
1205,b,"artist supply, craft",29276411530,31
1206,a,"health, beauty spas",85684792409,18
1207,c,"jewelry, watch, clock, silverware",49514806178,11
1208,a,"cable, satellite, other pay television, radio",94472466107,19552
1209,a,"tent, awning",40507108040,9841
1210,a,"digital goods, books, movies, music",44160392990,6203
1211,b,"computers, computer peripheral equipment, software",45466221547,21333
1212,a,"artist supply, craft",71169969325,1591
1213,b,"books, periodicals, newspapers",38971488186,4719
1214,b,"opticians, optical goods, eyeglasses",27109170541,1943
1215,a,"music, musical instruments, pianos, sheet music",16096277862,857
1216,b,shoe,66678764219,3520
1217,b,"motor vehicle supplies, new parts",83415851389,118
1218,b,"motor vehicle supplies, new parts",11437621158,2002
1219,c,"bicycle,",94547309480,491
1220,b,"art dealers, galleries",18905299698,359
1221,c,"computers, computer peripheral equipment, software",99672926179,1530
1222,b,"digital goods, books, movies, music",80421506936,425
1223,a,"cable, satellite, other pay television, radio",11452293720,338
1224,a,"computer programming, data processing, integrated systems design",12847992240,50
1225,b,"furniture, home furnishings, equipment, manufacturers",33587480673,40
1226,b,"artist supply, craft",86402909403,43
1227,b,"bicycle,",93346068525,36
1228,a,"antique, repairs, restoration",85117752663,9
1229,b,"computer programming, data processing, integrated systems design",39288194590,206
1230,b,"lawn, garden supply outlets, including nurseries",41072674090,86
1231,c,"furniture, home furnishings, equipment, manufacturers",78207255639,81
1232,a,"music, musical instruments, pianos, sheet music",93090969200,18
1233,b,"tent, awning",84355195068,44
1234,b,"digital goods, books, movies, music",28681229636,10258
1235,c,"health, beauty spas",43073797016,5224
1236,c,"cable, satellite, other pay television, radio",43660707274,4693
1237,d,"books, periodicals, newspapers",39685893174,1746
1238,a,"hobby, toy, game",31823794994,407
1239,c,shoe,58459771721,1201
1240,a,"furniture, home furnishings, equipment, manufacturers",61376261291,184
1241,c,"cable, satellite, other pay television, radio",87380473696,456
1242,a,"books, periodicals, newspapers",38367446372,123
1243,b,"computers, computer peripheral equipment, software",23335369654,237
1244,c,"health, beauty spas",34922750917,295
1245,b,"equipment, tool, furniture, appliance rental, leasing",69059526358,111
1246,c,"jewelry, watch, clock, silverware",77334889816,31
1247,b,"motor vehicle supplies, new parts",58408723909,146
1248,a,shoe,64609388293,57
1249,b,"stationery, office supplies, printing, writing paper",40453061481,2133
1250,b,"motor vehicle supplies, new parts",62981771325,2521
1251,b,"cable, satellite, other pay television, radio",88124569339,4392
1252,a,"florists supplies, nursery stock, flowers",32598536052,35
1253,a,"music, musical instruments, pianos, sheet music",46145508777,480
1254,a,"computer programming, data processing, integrated systems design",87459862096,302
1255,b,"digital goods, books, movies, music",99217762645,340
1256,a,"tent, awning",32943566946,33
1257,a,"books, periodicals, newspapers",30749472383,36
1258,b,"art dealers, galleries",42665580539,107
1259,c,telecom,76419655212,12
1260,c,"jewelry, watch, clock, silverware",29505435279,18
1261,b,"gift, card, novelty, souvenir",74046727484,19601
1262,c,"antique, repairs, restoration",76626119831,29935
1263,e,"cable, satellite, other pay television, radio",67609108741,13837
1264,a,"bicycle,",25365595519,976
1265,a,"watch, clock, jewelry repair",45362042297,1775
1266,c,"florists supplies, nursery stock, flowers",25714080598,840
1267,a,shoe,31587341011,94
1268,b,"computers, computer peripheral equipment, software",93981536412,193
1269,b,"music, musical instruments, pianos, sheet music",65401793264,84
1270,c,"equipment, tool, furniture, appliance rental, leasing",37718833659,148
1271,a,"books, periodicals, newspapers",19127906616,274
1272,c,"computers, computer peripheral equipment, software",96550897244,83
1273,b,"equipment, tool, furniture, appliance rental, leasing",63419471661,76
1274,a,"art dealers, galleries",52266154043,7
1275,b,"computer programming, data processing, integrated systems design",95896852636,6028
1276,b,"stationery, office supplies, printing, writing paper",10618089367,2852
1277,b,"motor vehicle supplies, new parts",32413511882,445
1278,c,"gift, card, novelty, souvenir",75089928159,16044
1279,a,"computer programming, data processing, integrated systems design",21046714053,1547
1280,a,"computer programming, data processing, integrated systems design",29063380341,1868
1281,a,"computer programming, data processing, integrated systems design",86187992452,275
1282,a,"artist supply, craft",63105795563,2271
1283,a,"hobby, toy, game",79306976993,70
1284,b,"stationery, office supplies, printing, writing paper",25083358415,1021
1285,c,"watch, clock, jewelry repair",87982653381,484
1286,a,"watch, clock, jewelry repair",33998551054,507
1287,b,"motor vehicle supplies, new parts",98416715677,55
1288,b,"computer programming, data processing, integrated systems design",80191930269,509
1289,a,"bicycle,",20435488659,1133
1290,a,"bicycle,",80287080694,214
1291,a,"motor vehicle supplies, new parts",72692207411,25
1292,a,"gift, card, novelty, souvenir",42822345560,300
1293,b,"artist supply, craft",66601385949,143
1294,b,"equipment, tool, furniture, appliance rental, leasing",37351213839,235
1295,c,"music, musical instruments, pianos, sheet music",45677220012,52
1296,a,"furniture, home furnishings, equipment, manufacturers",70401028896,131
1297,b,"bicycle,",33150692829,12
1298,a,"artist supply, craft",98072939449,4948
1299,a,"watch, clock, jewelry repair",91720867026,23236
1300,c,"watch, clock, jewelry repair",83412691377,11926
1301,b,"computers, computer peripheral equipment, software",41271931352,6527
1302,c,"stationery, office supplies, printing, writing paper",24123600795,708
1303,a,"music, musical instruments, pianos, sheet music",16919425848,1217
1304,c,"computers, computer peripheral equipment, software",96435855846,483
1305,d,"computers, computer peripheral equipment, software",99514198047,2374
1306,c,"music, musical instruments, pianos, sheet music",79359610588,1981
1307,c,"florists supplies, nursery stock, flowers",57508813253,60
1308,a,"computers, computer peripheral equipment, software",56829863713,474
1309,c,"lawn, garden supply outlets, including nurseries",86885252971,407
1310,c,"gift, card, novelty, souvenir",67698554653,592
1311,b,"opticians, optical goods, eyeglasses",80389596712,380
1312,b,"health, beauty spas",73266193202,75
1313,b,"jewelry, watch, clock, silverware",57860746842,99
1314,c,"artist supply, craft",64498959678,160
1315,b,"hobby, toy, game",97444574441,18
1316,b,"art dealers, galleries",11149063370,58
1317,c,"florists supplies, nursery stock, flowers",24852446429,241506
1318,c,"digital goods, books, movies, music",63300242141,11666
1319,c,"computer programming, data processing, integrated systems design",88249446460,6161
1320,a,"digital goods, books, movies, music",32605756719,9833
1321,c,"digital goods, books, movies, music",16765088338,1384
1322,c,"computers, computer peripheral equipment, software",40559163709,424
1323,b,"opticians, optical goods, eyeglasses",67465447214,1646
1324,a,"bicycle,",24179472533,588
1325,a,"watch, clock, jewelry repair",29680923658,374
1326,c,shoe,25846871943,1117
1327,d,telecom,49069349536,291
1328,b,"art dealers, galleries",58420836090,168
1329,b,"books, periodicals, newspapers",22705725824,183
1330,b,"digital goods, books, movies, music",57680172958,300
1331,b,"stationery, office supplies, printing, writing paper",14675858680,64
1332,a,"jewelry, watch, clock, silverware",44345785419,76
1333,a,"jewelry, watch, clock, silverware",21073645356,18
1334,a,"antique, repairs, restoration",61910841091,70
1335,b,"health, beauty spas",63826476372,35
1336,b,"art dealers, galleries",89133730546,2
1337,c,"antique, repairs, restoration",98202651678,1226
1338,a,"furniture, home furnishings, equipment, manufacturers",10323485998,8644
1339,a,"gift, card, novelty, souvenir",96244711717,6398
1340,b,"furniture, home furnishings, equipment, manufacturers",65337745105,1478
1341,a,"gift, card, novelty, souvenir",32623092639,5294
1342,b,"artist supply, craft",68209747287,3158
1343,a,"artist supply, craft",14480530534,1211
1344,b,"tent, awning",80132164373,1072
1345,c,"antique, repairs, restoration",17469082744,386
1346,a,"books, periodicals, newspapers",16404532871,140
1347,a,"bicycle,",29730124424,760
1348,d,"art dealers, galleries",42077919948,38
1349,b,telecom,20549656225,269
1350,a,"opticians, optical goods, eyeglasses",25963848680,57
1351,c,"equipment, tool, furniture, appliance rental, leasing",84448198573,20
1352,b,"health, beauty spas",82814082077,65
1353,a,"hobby, toy, game",42420316138,30
1354,a,"furniture, home furnishings, equipment, manufacturers",71703054238,68
1355,a,"florists supplies, nursery stock, flowers",56014638362,81
1356,c,"digital goods, books, movies, music",56482885504,83
1357,c,"lawn, garden supply outlets, including nurseries",94785155422,13
1358,c,"hobby, toy, game",46668174318,24
1359,a,"artist supply, craft",60061691817,3389
1360,a,"florists supplies, nursery stock, flowers",90348927972,2168
1361,a,"digital goods, books, movies, music",32749065279,3305
1362,b,"hobby, toy, game",63442187477,99
1363,b,"books, periodicals, newspapers",26505333735,1473
1364,c,"motor vehicle supplies, new parts",16452078130,3449
1365,b,"cable, satellite, other pay television, radio",43349891433,3851
1366,a,"digital goods, books, movies, music",13376463476,828
1367,a,"gift, card, novelty, souvenir",58776930712,428
1368,a,"bicycle,",56204411255,144
1369,a,"motor vehicle supplies, new parts",62464051354,277
1370,b,"lawn, garden supply outlets, including nurseries",22184299297,197
1371,a,"music, musical instruments, pianos, sheet music",37176176705,421
1372,a,"cable, satellite, other pay television, radio",15870230869,411
1373,b,"stationery, office supplies, printing, writing paper",14555045817,122
1374,c,"artist supply, craft",22792191490,66
1375,a,telecom,19458945909,16
1376,c,"computers, computer peripheral equipment, software",62807084929,22
1377,b,"health, beauty spas",55702861356,18
1378,a,"equipment, tool, furniture, appliance rental, leasing",44771894352,31
1379,a,"tent, awning",12133839110,36
1380,a,"computers, computer peripheral equipment, software",88230622213,2604
1381,b,"music, musical instruments, pianos, sheet music",74220937512,1820
1382,c,"equipment, tool, furniture, appliance rental, leasing",32423905315,178
1383,a,"stationery, office supplies, printing, writing paper",49536733338,3730
1384,b,"digital goods, books, movies, music",18645942609,5338
1385,c,"furniture, home furnishings, equipment, manufacturers",93292821052,411
1386,c,"tent, awning",25219450983,885
1387,a,telecom,72897360319,787
1388,a,"health, beauty spas",41980722395,1335
1389,a,"lawn, garden supply outlets, including nurseries",65189626072,648
1390,a,"cable, satellite, other pay television, radio",96215194743,161
1391,b,"lawn, garden supply outlets, including nurseries",44010826572,85
1392,b,"hobby, toy, game",76021079177,89
1393,a,"lawn, garden supply outlets, including nurseries",52310302169,109
1394,c,"stationery, office supplies, printing, writing paper",94848797110,24
1395,b,"artist supply, craft",51420872378,42
1396,b,"gift, card, novelty, souvenir",48534842833,2642
1397,b,"lawn, garden supply outlets, including nurseries",26413484487,210
1398,a,"opticians, optical goods, eyeglasses",69078612783,1246
1399,a,"watch, clock, jewelry repair",83781478969,1573
1400,b,"health, beauty spas",44488833452,357
1401,a,telecom,80116239104,45
1402,b,"books, periodicals, newspapers",71616292306,40
1403,b,telecom,92693781303,23
1404,a,"gift, card, novelty, souvenir",12014115545,2190
1405,b,shoe,58321530622,2327
1406,b,"opticians, optical goods, eyeglasses",19575005485,1924
1407,a,"cable, satellite, other pay television, radio",16587082018,2538
1408,b,shoe,16492082804,13338
1409,a,"artist supply, craft",78073971498,4769
1410,b,"bicycle,",87084550311,3996
1411,a,"cable, satellite, other pay television, radio",14804580099,1239
1412,b,"digital goods, books, movies, music",71274812967,915
1413,b,"digital goods, books, movies, music",26599529197,3832
1414,a,"digital goods, books, movies, music",82852293268,419
1415,a,"music, musical instruments, pianos, sheet music",26001500989,794
1416,c,"music, musical instruments, pianos, sheet music",17614133590,266
1417,a,"health, beauty spas",26341565445,96
1418,b,"art dealers, galleries",17208085375,512
1419,c,"art dealers, galleries",63907965541,189
1420,b,"furniture, home furnishings, equipment, manufacturers",83113618128,52
1421,a,"art dealers, galleries",56945094143,127
1422,a,telecom,61941120453,10
1423,b,"computers, computer peripheral equipment, software",48807515867,66
1424,b,"motor vehicle supplies, new parts",64464998822,29
1425,b,"hobby, toy, game",61333423388,42
1426,a,"equipment, tool, furniture, appliance rental, leasing",17266923036,23
1427,a,"music, musical instruments, pianos, sheet music",43835684204,31
1428,c,"artist supply, craft",22658353530,2715
1429,b,"computers, computer peripheral equipment, software",35424691626,19804
1430,c,"bicycle,",28510201393,905
1431,b,"music, musical instruments, pianos, sheet music",34179569263,19374
1432,b,"computer programming, data processing, integrated systems design",94729574738,10050
1433,a,"computer programming, data processing, integrated systems design",24094430920,2146
1434,a,"health, beauty spas",45946543693,3114
1435,a,"computer programming, data processing, integrated systems design",28464012306,707
1436,b,"tent, awning",69059526279,44
1437,b,"computer programming, data processing, integrated systems design",78119440529,1042
1438,b,"cable, satellite, other pay television, radio",45159852190,342
1439,b,telecom,88652114856,272
1440,a,telecom,62924351636,29
1441,b,"music, musical instruments, pianos, sheet music",43065012749,163
1442,b,"gift, card, novelty, souvenir",78963299452,1586
1443,b,"furniture, home furnishings, equipment, manufacturers",48997695741,3697
1444,c,shoe,42876620841,566
1445,a,"bicycle,",71381535323,5660
1446,b,"digital goods, books, movies, music",87639550697,14001
1447,a,"watch, clock, jewelry repair",15531408565,1127
1448,c,"cable, satellite, other pay television, radio",26643842396,2778
1449,a,shoe,10955677986,649
1450,b,"health, beauty spas",27179144904,4318
1451,a,"watch, clock, jewelry repair",25939878512,382
1452,b,"lawn, garden supply outlets, including nurseries",64033337945,40
1453,a,"tent, awning",62818707868,570
1454,a,"tent, awning",57082085511,226
1455,c,shoe,35475436187,45
1456,c,"watch, clock, jewelry repair",94040507060,433
1457,c,"equipment, tool, furniture, appliance rental, leasing",58139231665,314
1458,c,"equipment, tool, furniture, appliance rental, leasing",65027706740,55
1459,a,"lawn, garden supply outlets, including nurseries",42672975886,235
1460,c,"equipment, tool, furniture, appliance rental, leasing",53600852724,24
1461,b,"motor vehicle supplies, new parts",15710208349,4
1462,a,"motor vehicle supplies, new parts",32262357239,115
1463,c,"art dealers, galleries",52969453577,25
1464,c,"lawn, garden supply outlets, including nurseries",90173050473,21047
1465,a,"artist supply, craft",23092329041,1111
1466,a,"bicycle,",65527917790,796
1467,a,shoe,42878473215,216
1468,b,"lawn, garden supply outlets, including nurseries",79469416437,283
1469,c,shoe,68289707002,1980
1470,b,"art dealers, galleries",36628336616,179
1471,c,"furniture, home furnishings, equipment, manufacturers",80089686333,923
1472,b,"opticians, optical goods, eyeglasses",22575615382,185
1473,b,"art dealers, galleries",19401969640,9
1474,c,"books, periodicals, newspapers",81021509523,332
1475,b,"antique, repairs, restoration",80731100978,21
1476,c,"hobby, toy, game",29936037423,9546
1477,a,"antique, repairs, restoration",73489866331,4634
